Rank;Title;Release Year;Duration;Age Rating;Rating;Amount of Reviews
124;Sykkeltyvene;1948;1h 29m;A;8.3;175000
125;1917;2019;1h 59m;15;8.2;672000
126;Taxisjåføren;1976;1h 54m;15;8.2;917000
127;Der Untergang - Det tredje rikets siste dager;2004;2h 36m;15;8.2;374000
128;Dangal;2016;2h 41m;7;8.3;210000
129;For en neve dollar mer;1965;2h 12m;15;8.2;274000
130;Batman Begins;2005;2h 20m;12;8.2;1.6M
131;The Wolf of Wall Street;2013;3h;15;8.2;1.6M
132;Noen har det hett;1959;2h 1m;16;8.2;283000
133;Småen;1921;1h 8m;A;8.2;134000
134;Green Book;2018;2h 10m;9;8.2;567000
135;The Father;2020;1h 37m;9;8.2;192000
136;Dommen i Nürnberg;1961;2h 59m;16;8.3;85000
137;Alt om Eva;1950;2h 18m;11;8.2;138000
138;The Truman Show;1998;1h 43m;11;8.2;1.2M
139;Top Gun: Maverick;2022;2h 10m;12;8.2;690000
140;Shutter Island;2010;2h 18m;15;8.2;1.4M
141;There Will Be Blood;2007;2h 38m;15;8.2;639000
142;Casino;1995;2h 58m;18;8.2;562000
143;Ran;1985;2h 40m;16;8.2;136000
144;Jurassic Park;1993;2h 7m;12;8.2;1.1M
145;Den sjette sansen;1999;1h 47m;15;8.2;1M
146;Pans labyrint;2006;1h 58m;15;8.2;702000
147;Nådeløse menn;1992;2h 10m;15;8.2;435000
148;No Country for Old Men;2007;2h 2m;15;8.2;1.1M
149;Et vakkert sinn;2001;2h 15m;11;8.2;984000
150;Tingen fra en annen verden;1982;1h 49m;11;8.2;465000
151;Sierra Madres skatt;1948;2h 6m;9;8.2;132000
152;Kill Bill: Vol. 1;2003;1h 51m;18;8.2;1.2M
153;Yojimbo - livvakten;1961;1h 50m;16;8.2;131000
154;Monty Python og ridderne av det runde bord;1975;1h 31m;16;8.2;569000
155;Den store flukten;1963;2h 52m;12;8.2;258000
156;Oppdrag Nemo;2003;1h 40m;7;8.2;1.1M
157;Demonenes port;1950;1h 28m;15;8.2;180000
158;Prisoners;2013;2h 33m;15;8.2;806000
159;Det levende slottet;2004;1h 59m;7;8.2;447000
160;Elefantmannen;1980;2h 4m;16;8.2;258000
161;Chinatown;1974;2h 10m;16;8.1;349000
162;Ring politiet!;1954;1h 45m;16;8.2;188000
163;Tatt av vinden;1939;3h 58m;16;8.2;333000
164;V for Vendetta;2005;2h 12m;15;8.2;1.2M
165;Lock, Stock and Two Smoking Barrels;1998;1h 47m;15;8.1;615000
166;Hemmeligheten i deres øyne;2009;2h 9m;15;8.2;222000
167;Innsiden ut;2015;1h 35m;7;8.1;782000
168;Den rasende oksen;1980;2h 9m;15;8.1;379000
169;Three Billboards Outside Ebbing, Missouri;2017;1h 55m;15;8.1;553000
170;Trainspotting;1996;1h 33m;15;8.1;724000
171;Broen over Kwai;1957;2h 41m;12;8.1;233000
172;Spider-Man: No Way Home;2021;2h 28m;12;8.2;874000
173;Fargo;1996;1h 38m;15;8.1;725000
174;Klaus;2019;1h 36m;PG;8.2;189000
175;Warrior;2011;2h 20m;PG-13;8.1;497000
176;Catch Me If You Can;2002;2h 21m;7;8.1;1.1M
177;Godzilla Minus One;2023;2h 4m;PG-13;8.3;47000
178;Gran Torino;2008;1h 56m;15;8.1;813000
179;Min nabo Totoro;1988;1h 26m;A;8.1;378000
